id,Temperature,RelativeHumidity
01-dec,5.62634296258873,91.3892652774747
02-dec,6.42940887737526,92.7822023883087
03-dec,6.40813012591882,96.6227917736821
04-dec,6.16872387710665,80.295229715131
05-dec,4.77376308643784,80.0529919980548
06-dec,7.18310176112826,83.7664554569656
07-dec,6.66883081933184,94.3979703178901
08-dec,5.24390141196322,93.6470937185207
09-dec,11.2228469233425,98.8029790122775
10-dec,11.0711473532191,91.6760334973385
11-dec,9.95004898929151,94.4905635780083
12-dec,4.56799940736021,86.6425735833801
13-dec,0.670933747396523,98.8396312539834
14-dec,8.93729384460635,95.0956772233772
15-dec,10.043139801472,89.1700962692256
16-dec,9.25448205355914,85.6253980542016
17-dec,6.71875394238073,95.3453375078546
18-dec,8.02949427781474,94.6094624961278
19-dec,6.87785578530078,89.7031648162843
20-dec,9.65458986999725,92.6953505017946
21-dec,7.27759070183742,93.8538077848314
22-dec,10.2342509308829,83.1352696527772
23-dec,9.99194256932381,98.1175421241283
24-dec,9.16287083543418,96.1410646296538
25-dec,5.88070517793615,96.2290879965846
26-dec,2.18291455289802,96.0080623940778
27-dec,2.80446613592225,83.0755113419856
28-dec,1.42473447012115,84.1627001236746
29-dec,4.21822255811919,98.2199695253749
30-dec,8.63792190091288,84.2746752106546
31-dec,7.0357762619116,86.4180427293626
01-jan,6.96634126378851,84.2062887276126
02-jan,9.2033323560038,95.5295100290138
03-jan,7.53658842244064,91.4458326591945
04-jan,7.11448194545622,98.2877164966263
05-jan,4.3166390704042,88.4474052177702
06-jan,3.82547916907364,97.8938062665559
07-jan,2.90523152098365,80.3100737599182
08-jan,0.299990441339667,99.7564047366486
09-jan,5.58186097632922,92.6250382769001
10-jan,11.1704028734807,95.6439172726023
11-jan,6.87419403181122,76.8093760626626
12-jan,9.37359323813786,94.2157519102233
13-jan,9.21627440422322,87.5620364777894
14-jan,5.44701078447281,77.4532140817528
15-jan,9.2315432836486,87.7527337531712
16-jan,7.0397617246154,93.1778194968524
17-jan,8.59884489726626,88.841487944987
18-jan,11.3546236267923,91.3401720399015
19-jan,10.2981037305799,88.3829480275015
20-jan,6.46962082608902,84.2485028243674
21-jan,7.77082180804245,89.7360671712114
22-jan,7.69511088495042,86.4879430851749
23-jan,8.08070957579471,76.1528231959122
24-jan,6.27809110488277,84.6721524361615
25-jan,6.53404500271511,82.2578516557895
26-jan,4.81616210679321,64.9647885787339
27-jan,3.64706538226246,74.3572089466905
28-jan,4.34948867330671,80.4033357895779
29-jan,4.17554901664301,82.5410919598719
30-jan,2.10793603093716,95.1368944463086
31-jan,3.35036173794785,86.3896889628155
01-feb,4.8826709054279,88.800844137444
02-feb,8.68160075730239,86.6352235235327
03-feb,6.93959418446107,95.0586265520424
04-feb,6.82578067903676,86.2278262890791
05-feb,5.42681771374627,82.7752853244383
06-feb,8.50414983354054,85.0928532539527
